abbrev,Bezirk,Mitt,FrKr,Pank,ChWi,Span,StZe,TSch,Neuk,TrKo,MaHe,Lich,Rein
Mitt,Mitte,0,7343,8873,7013,2641,2901,5094,4594,1353,1406,2762,6128
FrKr,Friedrichshain-Kreuzberg,7750,0,7985,3095,1031,1882,4191,7184,2233,1727,3804,1057
Pank,Pankow,10333,7944,0,2479,1025,1445,2135,2135,2257,3008,6080,3168
ChWi,Charlottenburg-Wilmersdorf,7609,3316,2128,0,4303,6089,7347,2974,829,693,1126,2410
Span,Spanda,3250,1004,987,5366,0,1397,2025,1743,591,614,720,2563
StZe,Steglitz-Zehlendorf,3791,2296,1570,7897,1399,0,9703,3166,866,521,800,1538
TSch,Tempelhof-Schönefeld,5527,6148,1988,7048,1971,8426,0,8556,1372,707,1162,1774
Neuk,Neukölln,5117,12141,2992,2779,1221,2608,7964,0,3097,794,1576,1555
TrKo,Treptow-Köpenick,1749,3674,2779,941,974,801,1495,4164,0,4027,4005,677
MaHe,Mazahn-Hellersdorf,1673,1962,3022,551,909,494,1015,1210,3228,0,7619,658
Lich,Lichtenberg,3283,6490,7119,952,1260,742,1243,1593,3397,6574,0,897
Rein,Reinickendorf,10110,1504,2793,2718,2072,1299,1923,1960,546,600,895,0
