abbrev,Bezirk,Mitt,FrKr,Pank,ChWi,Span,StZe,TSch,Neuk,TrKo,MaHe,Lich,Rein,sum_imm,sum_emm,sum_int
Mitt,Mitte,0,5114,7051,5353,1991,2429,3682,3447,1176,1012,2137,6805,33976,40197,0
FrKr,Friedrichshain-Kreuzberg,5091,0,5404,2284,681,1542,4235,7680,2424,1295,4122,1017,28955,35775,0
Pank,Pankow,5915,5348,0,1392,626,950,1329,1741,1876,1911,4513,1850,28607,27451,0
ChWi,Charlottenburg-Wilmersdorf,4816,2245,1609,0,3325,5345,4946,1869,617,314,543,1794,26544,27423,0
Span,Spanda,1611,707,611,2790,0,870,1234,843,567,421,822,1451,12824,11927,0
StZe,Steglitz-Zehlendorf,1879,1310,875,4211,876,0,5583,1880,548,275,444,930,22541,18811,0
TSch,Tempelhof-Schönefeld,3548,3005,1447,4998,1298,6773,0,5626,973,691,839,1336,30003,30534,0
Neuk,Neukölln,3176,4936,1467,2149,1173,2313,5872,0,2994,702,1050,1466,27864,27298,0
TrKo,Treptow-Köpenick,872,1544,1486,481,390,545,817,2177,0,2008,2285,344,16944,12949,0
MaHe,Mazahn-Hellersdorf,959,1334,2083,403,323,287,462,589,2624,0,4686,422,13926,14172,0
Lich,Lichtenberg,1853,2643,4207,702,439,490,668,965,2700,4895,0,603,21978,20165,0
Rein,Reinickendorf,4256,769,2367,1781,1702,997,1175,1047,445,402,537,0,18018,15478,0
