abbrev,Bezirk,Mitt,FrKr,Pank,ChWi,Span,StZe,TSch,Neuk,TrKo,MaHe,Lich,Rein,sum_imm,sum_emm,saldo,saldo_norm,max_emm,sum_int
Mitt,Mitte,0,12916,17567,13004,5482,6218,9335,8602,2907,2960,5439,17198,84655,101628,-16973,-0.881164988059392,17567,0
FrKr,Friedrichshain-Kreuzberg,12624,0,13391,5609,1723,3846,10364,20067,6097,3417,10562,2520,70958,90220,-19262,-1,20067,0
Pank,Pankow,14676,13297,0,3623,1718,2607,3471,4817,4547,5146,11736,4713,70462,70351,111,0.00576264147025231,14676,0
ChWi,Charlottenburg-Wilmersdorf,11838,5313,4155,0,8857,13190,11864,4680,1536,949,1610,4528,66041,68520,-2479,-0.128698992835635,13190,0
Span,Spanda,4457,1753,1719,7408,0,2312,3579,2004,1515,1466,2278,3584,34238,32075,2163,0.112293635136538,7408,0
StZe,Steglitz-Zehlendorf,4909,3193,2295,10312,2384,0,13960,4404,1367,848,1208,2157,56123,47037,9086,0.47170594953795,13960,0
TSch,Tempelhof-Schönefeld,8665,7322,3597,12458,3416,16449,0,13471,2508,1725,2118,3285,75321,75014,307,0.0159381164988059,16449,0
Neuk,Neukölln,7958,12212,3700,5046,3094,5347,14576,0,7083,2051,2733,3467,69864,67267,2597,0.134825044128336,14576,0
TrKo,Treptow-Köpenick,2334,3840,3652,1335,1002,1429,2191,5268,0,5484,5585,944,41690,33064,8626,0.447824732634202,5585,0
MaHe,Mazahn-Hellersdorf,2374,2942,4891,1098,976,834,1186,1464,6379,0,11003,1079,38086,34226,3860,0.200394559235801,11003,0
Lich,Lichtenberg,4620,6324,10123,1947,1255,1341,1920,2551,6664,12842,0,1585,55796,51172,4624,0.240058145571592,12842,0
Rein,Reinickendorf,10200,1846,5372,4201,4331,2550,2875,2536,1087,1198,1524,0,45060,37720,7340,0.381061156681549,10200,0
